bin	start_timestamp	target	pid_set	valid_samples	glibc_median_kb	glibc_min_kb	glibc_max_kb	other_anon_median_kb	file_backed_median_kb	MemAvailable_median_kb	zram_used_median_kb
12	2026-08-13T23:25:09,751275297-0700	systemd	1	15	1144	1144	1144	164	440	1045296	79504
12	2026-08-13T23:25:09,751275297-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1045296	79504
13	2026-08-13T23:25:39,752303206-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	AppProcB	896	15	6852	6852	6860	11780	6416	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	AppProcD	424	15	12676	12676	12676	18664	5140	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	cynara	205	15	1648	1648	1648	1032	212	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	enlightenment	258	15	2676	2676	2676	968	3036	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	ServiceD	1037	15	588	588	588	2128	3224	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	systemd	1	15	1144	1144	1144	164	440	1045400	79504
13	2026-08-13T23:25:39,752303206-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1045400	79504
14	2026-08-13T23:26:09,750854116-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	AppProcD	424	15	12652	12652	12676	18636	5140	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	cynara	205	15	1648	1648	1648	1032	212	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	enlightenment	258	15	2648	2648	2676	968	3036	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	ServiceD	1037	15	588	588	588	2128	3224	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	systemd	1	15	1144	1144	1144	164	440	1045268	79504
14	2026-08-13T23:26:09,750854116-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1045268	79504
15	2026-08-13T23:26:39,754235192-0700	AppProcA	2724	14	1212	1212	1212	3644	3732	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	AppProcB	896	14	6852	6852	6852	11780	6416	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	AppProcD	424	14	12652	12652	12652	18636	5140	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	buxton2d_worker	229	14	1212	1212	1212	32	440	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	cynara	205	14	1648	1648	1648	1032	212	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	ServiceH	719	14	3964	3964	3964	4004	3040	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	enlightenment	258	14	2648	2648	2648	968	3036	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	ServiceD	1037	14	588	588	588	2128	3224	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	systemd	1	14	1144	1144	1148	164	440	1045170	79504
15	2026-08-13T23:26:39,754235192-0700	ServiceE	404	14	7804	7804	7804	2808	7800	1045170	79504
16	2026-08-13T23:27:07,760648019-0700	AppProcA	2724	16	1212	1212	1212	3644	3732	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	AppProcB	896	16	6852	6852	6852	11780	6416	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	AppProcD	424	16	12652	12652	12652	18640	5140	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	buxton2d_worker	229	16	1212	1212	1212	32	440	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	cynara	205	16	1648	1648	1648	1032	212	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	ServiceH	719	16	3964	3964	3964	4004	3040	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	enlightenment	258	16	2648	2648	2648	968	3036	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	ServiceD	1037	16	588	588	588	2128	3224	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	systemd	1	16	1148	1148	1148	164	440	1045090	79504
16	2026-08-13T23:27:07,760648019-0700	ServiceE	404	16	7804	7804	7804	2808	7800	1045090	79504
17	2026-08-13T23:27:39,751981761-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	AppProcD	424	15	12652	12652	12652	18640	5140	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	cynara	205	15	1648	1648	1648	1032	212	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	enlightenment	258	15	2648	2648	2648	968	3036	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	ServiceD	1037	15	588	588	588	2128	3224	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	systemd	1	15	1148	1148	1148	164	440	1044596	79504
17	2026-08-13T23:27:39,751981761-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1044596	79504
18	2026-08-13T23:28:09,754393587-0700	AppProcA	2724	15	1212	1212	1212	3644	3732	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	AppProcB	896	15	6852	6852	6852	11780	6416	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	AppProcD	424	15	12648	12648	12652	18640	5140	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	buxton2d_worker	229	15	1212	1212	1212	32	440	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	cynara	205	15	1648	1648	1648	1032	212	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	ServiceH	719	15	3964	3964	3964	4004	3040	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	enlightenment	258	15	2624	2624	2648	968	3036	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	ServiceD	1037	15	588	588	588	2128	3224	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	systemd	1	15	1148	1148	1148	164	440	1044764	79504
18	2026-08-13T23:28:09,754393587-0700	ServiceE	404	15	7804	7804	7804	2808	7800	1044764	79504
19	2026-08-13T23:28:39,751459663-0700	AppProcA	2724	14	1212	1212	1212	3644	3732	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	AppProcB	896	14	6852	6852	6852	11780	6416	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	AppProcD	424	14	12648	12648	12648	18614	5140	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	buxton2d_worker	229	14	1212	1212	1212	32	440	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	cynara	205	14	1648	1648	1648	1032	212	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	ServiceH	719	14	3964	3964	3964	4004	3040	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	enlightenment	258	14	2624	2624	2624	968	3036	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	ServiceD	1037	14	588	588	588	2128	3224	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	systemd	1	14	1148	1148	1148	164	440	1044926	79504
19	2026-08-13T23:28:39,751459663-0700	ServiceE	404	14	7804	7804	7804	2808	7800	1044926	79504
