sample	actual_stage	timestamp	actual_elapsed_s	pid	glibc_heap_pd_kb	other_anon_pd_kb	file_backed_pd_kb	minflt	majflt	MemAvailable_kb	zram_used_kb
236	R4	2026-08-14T02:00:12,483612415-0700	264.493645	3953	4172	4256	2656	462704	167	779524	92940
237	R4	2026-08-14T02:00:14,626770331-0700	266.615260	3953	4056	4240	2656	462704	167	738680	92940
238	R4	2026-08-14T02:00:15,599607331-0700	267.608288	3953	4056	4240	2656	462704	167	760228	92940
239	R4	2026-08-14T02:00:16,413558664-0700	268.422614	3953	4056	4240	2656	462704	167	761076	92940
240	R4	2026-08-14T02:00:17,520618330-0700	269.529641	3953	4056	4240	2656	462704	167	779468	92940
241	R4	2026-08-14T02:00:18,552050663-0700	270.558632	3953	4032	4240	2656	462704	167	777800	92940
242	R4	2026-08-14T02:00:19,696107996-0700	271.705383	3953	4032	4240	2656	462704	167	774112	92940
243	R4	2026-08-14T02:00:20,847770746-0700	272.845548	3953	4032	4240	2656	462704	167	772504	92940
244	R4	2026-08-14T02:00:21,960563496-0700	273.965326	3953	4032	4240	2656	462704	167	772112	92940
245	R4	2026-08-14T02:00:22,797784329-0700	274.806137	3953	4032	4240	2656	462704	167	772312	92940
246	R4	2026-08-14T02:00:23,690301079-0700	275.697497	3953	4032	4240	2656	462704	167	773532	92940
247	R4	2026-08-14T02:00:24,414443662-0700	276.424884	3953	4032	4240	2656	462704	167	775852	92940
248	R4	2026-08-14T02:00:25,225470245-0700	277.227872	3953	4032	4240	2656	462704	167	777532	92940
249	R4	2026-08-14T02:00:26,055119078-0700	278.063299	3953	4032	4240	2656	462704	167	777480	92940
250	R4	2026-08-14T02:00:27,053459828-0700	279.061176	3953	4032	4240	2656	462704	167	781432	92940
251	R4	2026-08-14T02:00:28,082362661-0700	280.092266	3953	4032	4240	2656	462704	167	780296	92940
252	R4	2026-08-14T02:00:28,822640327-0700	280.830962	3953	4032	4240	2656	462704	167	779856	92940
253	R4	2026-08-14T02:00:29,557128161-0700	281.565024	3953	4032	4240	2656	462704	167	779396	92940
254	R4	2026-08-14T02:00:30,297214910-0700	282.305561	3953	4032	4240	2656	462704	167	780420	92940
