UID        PID  PPID  C STIME TTY          TIME CMD
   86     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [vchiq-sync/0]
   87     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [vchiq-keep/0]
   91     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [SMIO]
   92     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   93     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   94     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   95     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   96     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   97     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   98     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mmal-vchiq]
   99     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-mld]
  100     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [kworker/R-ipv6_addrco
  102     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [krfcommd]
  105     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/54-vc4 hdmi hpd c
  106     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/55-vc4 hdmi hpd d
  107     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [cec-vc4-hdmi-0]
  108     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/56-vc4 hdmi cec r
  109     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/57-vc4 hdmi cec t
  110     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/58-vc4 hdmi hpd c
  111     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/59-vc4 hdmi hpd d
  112     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [cec-vc4-hdmi-1]
  113     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/60-vc4 hdmi cec r
  114     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [irq/61-vc4 hdmi cec t
  115     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc0]
  116     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc1]
  117     2 ?        Fri Aug 28 15:50:38 2026 10-22:50:48 [card0-crtc2]
